state;2010;1960;FIPS
Alabama;176.2;6.2;1
Alaska;54.2;0.9;2
Arizona;247.3;3.8;3
Arkansas;104.9;3.2;4
California;1,960.9;57.7;5
Colorado;258.1;5.0;6
Connecticut;230.4;8.4;7
Delaware;57.7;1.6;8
District of Columbia;104.0;4.4;9
Florida;729.8;12.5;10
Georgia;408.0;8.8;11
Hawaii;67.5;2.0;12
Idaho;55.4;1.6;13
Illinois;653.2;33.6;14
Indiana;283.1;13.3;15
Iowa;141.4;6.7;16
Kansas;128.6;5.2;17
Kentucky;165.8;7.1;18
Louisiana;231.4;8.2;19
Maine;51.3;2.1;20
Maryland;314.5;8.7;21
Massachusetts;399.3;14.8;22
Michigan;387.2;25.9;23
Minnesota;271.5;9.1;24
Mississippi;95.0;3.8;25
Missouri;255.6;11.6;26
Montana;37.8;1.7;27
Nebraska;91.5;3.6;28
Nevada;119.8;1.5;29
New Hampshire;62.7;1.4;30
New Jersey;493.0;19.9;31
New Mexico;86.2;2.6;32
New York;1208.1;60.1;33
North Carolina;417.4;10.8;34
North Dakota;36.0;1.4;35
Ohio;494.7;28.3;36
Oklahoma;151.3;5.2;37
Oregon;191.4;4.9;38
Pennsylvania;588.3;29.4;39
Rhode Island;49.3;2.3;40
South Carolina;165.2;4.3;41
South Dakota;38.0;1.4;42
Tennessee;254.3;7.7;43
Texas;1,251.5;24.9;44
Utah;119.0;2.6;45
Vermont;26.4;0.8;46
Virginia;423.5;9.9;47
Washington;362.1;9.5;48
West Virginia;67.0;3.9;49
Wisconsin;253.8;10.8;50
Wyoming;39.1;1.2;51
